Adjusted_Date,Date,Title,Description,URL,Stock_Name,Date_Formated,full_news,news_combined
2024-12-18,2024-12-18,itc hotels demerger record date announced,itc ltd has finalized january 6 2025 as the record date for the demerger of its hotels business itc hotels limited the demerger effective january 1 2025 follows approvals from nclt shareholders and cci itc will retain 40 ownership while existing ,https://economictimes.indiatimes.com/markets/stocks/news/itc-hotels-demerger-record-date-announced/articleshow/116427983.cms,ITC.NS,2024-12-18, ---title--- itc hotels demerger record date announced ---body--- itc ltd has finalized january 6 2025 as the record date for the demerger of its hotels business itc hotels limited the demerger effective january 1 2025 follows approvals from nclt shareholders and cci itc will retain 40 ownership while existing  ---newarticle--- , ---title--- itc hotels demerger record date announced ---body--- itc ltd has finalized january 6 2025 as the record date for the demerger of its hotels business itc hotels limited the demerger effective january 1 2025 follows approvals from nclt shareholders and cci itc will retain 40 ownership while existing  ---newarticle---   ---title--- itc ups stake in oberoi group  leela mumbai ahead of hotel arms jan 1 demerger ---body--- itc bought more shares of eih the parent company of oberoi hotels itcs stake in eih is now 1613 itc also increased its stake in hlv ltd owner of the leela mumbai to 811 this happened before itc hotels separated from the main itc group on january 1 ---newarticle---   ---title--- stocks to buy today vedanta itc and piramal pharma on investors radar ---body--- indian indices closed lower tuesday with investors cautious ahead of the us federal reserves rate decision  vedanta itc and piramal pharma saw notable price action analysts suggest vedanta and itc are good longterm buys while piramal pharma shows pote ---newarticle---   ---title--- itc acquires 244 stake in eih and 053 in leela mumbai ---body--- eih the flagship company of the oberoi group holds a 244 stake amounting to over 15 crore equity shares meanwhile hlv closely associated with the leela mumbai owns 053 equity translating to 3460 lakh equity shares ---newarticle--- 
2024-12-03,2024-12-03,itc shares dip 15on potential gst rate increase on tobacco products,gst council likely to recommend rate increase on tobacco tobaccorelated products from 25 to 35,https://www.thehindubusinessline.com/companies/itc-shares-dip-15on-potential-gst-rate-increase-on-tobacco-products/article68941214.ece,ITC.NS,2024-12-03, ---title--- itc shares dip 15on potential gst rate increase on tobacco products ---body--- gst council likely to recommend rate increase on tobacco tobaccorelated products from 25 to 35 ---newarticle--- , ---title--- itc shares dip 15on potential gst rate increase on tobacco products ---body--- gst council likely to recommend rate increase on tobacco tobaccorelated products from 25 to 35 ---newarticle---   ---title--- any dip a good opportunity to buy itc bullish on metal stocks going forward deven choksey ---body--- deven choksey believes that itcs hotel fmcg and agri sectors show clear growth potential he regards dips in stock prices as opportunities to invest in metals steady energy prices and strong demand outlook suggest a positive outlook retail consumption m ---newarticle---   ---title--- stocks of itc godfrey phillips decline amid gst hike report ---body--- shares of itc varun beverages and godfrey phillips india ended lower on tuesday after the group of ministers on gst rate rationalisation decided to hike tax on sin goods like aerated beverages cigarettes tobacco and related products ---newarticle---   ---title--- itc shares fall 3 as gst on cigarettes may be hiked to 35 ---body--- itc share price shares of companies like itc and godfrey phillips fell as the gom decided to increase gst on tobacco and aerated beverages to 35 itc shares fell by 3 vst industries by 23 and godfrey phillips by 32 the goms report will be discussed ---newarticle--- 
2024-11-29,2024-11-29,itc acquires greenacre holdings from subsidiary russell credit at 4210 crore,itc acquires greenacre holdings from russell credit for 4210 crore making ghl a whollyowned subsidiary of itc,https://www.thehindubusinessline.com/companies/itc-acquires-greenacre-holdings-from-subsidiary-russell-credit-at-4210-crore/article68926729.ece,ITC.NS,2024-11-29, ---title--- itc acquires greenacre holdings from subsidiary russell credit at 4210 crore ---body--- itc acquires greenacre holdings from russell credit for 4210 crore making ghl a whollyowned subsidiary of itc ---newarticle--- , ---title--- itc acquires greenacre holdings from subsidiary russell credit at 4210 crore ---body--- itc acquires greenacre holdings from russell credit for 4210 crore making ghl a whollyowned subsidiary of itc ---newarticle--- 
2024-12-06,2024-12-06,buy itc target price rs 575 motilal oswal financial services,motilal oswal recommends buying itc stock setting a target price of rs 575 significantly higher than the current market price of rs 46725 itc a largecap company recently reported strong q2 earnings with a consolidated total income of rs 2135183 crore,https://economictimes.indiatimes.com/markets/stocks/recos/buy-itc-target-price-rs-575-motilal-oswal-financial-services/articleshow/115991473.cms,ITC.NS,2024-12-06, ---title--- buy itc target price rs 575 motilal oswal financial services ---body--- motilal oswal recommends buying itc stock setting a target price of rs 575 significantly higher than the current market price of rs 46725 itc a largecap company recently reported strong q2 earnings with a consolidated total income of rs 2135183 crore ---newarticle--- , ---title--- buy itc target price rs 575 motilal oswal financial services ---body--- motilal oswal recommends buying itc stock setting a target price of rs 575 significantly higher than the current market price of rs 46725 itc a largecap company recently reported strong q2 earnings with a consolidated total income of rs 2135183 crore ---newarticle---   ---title--- how this super app from itc builds an ecosystem for farmers in the hinterland ---body--- discover how itcs techbased intervention is transforming agriculture in rural india through the maars super app ---newarticle--- 
2024-12-19,2024-12-19,eih shares in focus after itc acquires 244 stake,shares of luxury hospitality company eih limited will be in focus on thursday after itc acquired a 244 stake in the company representing over 15 crore equity shares additionally itc purchased a 053 stake in hlv limited equivalent to 3460 lakh equity,https://economictimes.indiatimes.com/markets/stocks/news/eih-shares-in-focus-after-itc-acquires-2-44-stake/articleshow/116456232.cms,ITC.NS,2024-12-19, ---title--- eih shares in focus after itc acquires 244 stake ---body--- shares of luxury hospitality company eih limited will be in focus on thursday after itc acquired a 244 stake in the company representing over 15 crore equity shares additionally itc purchased a 053 stake in hlv limited equivalent to 3460 lakh equity ---newarticle--- , ---title--- eih shares in focus after itc acquires 244 stake ---body--- shares of luxury hospitality company eih limited will be in focus on thursday after itc acquired a 244 stake in the company representing over 15 crore equity shares additionally itc purchased a 053 stake in hlv limited equivalent to 3460 lakh equity ---newarticle---   ---title--- stocks in news itc iol chemicals ircon sbi asian paints ---body--- vishu goel resigned as the associate vice president retail sales commercial  marketing of the company with immediate effect ---newarticle---   ---title--- itc increases its stake in eih hlv shares fall slightly ---body--- itc ltd acquires additional stakes of 244 per cent in eih limited and 053 per cent in hlv limited bringing its total stakes in the companies to 1613 per cent and 811 per cent respectively ---newarticle---   ---title--- demergers to watch out for in 2025 itc vedanta 3 others ---body--- five major indian companies including itc and vedanta are gearing up for demergers in 2025 itc will spin off its hotels business while vedanta will separate its aluminum oil and gas power steel and base metals divisions tata motors aditya birla fash ---newarticle--- 
2024-12-09,2024-12-09,gst officers detect rs 35132 cr itc evasion by over 17000 fake firms,gst authorities uncovered inr 35132 crore in input tax credit itc fraud by 17818 fictitious firms between april and october  sixtynine arrests were made and inr 6484 crore was recovered through itc blocking and other measures during a special drive ta,https://economictimes.indiatimes.com/news/economy/finance/gst-officers-detect-rs-35132-cr-itc-evasion-by-over-17000-fake-firms/articleshow/116135506.cms,ITC.NS,2024-12-09, ---title--- gst officers detect rs 35132 cr itc evasion by over 17000 fake firms ---body--- gst authorities uncovered inr 35132 crore in input tax credit itc fraud by 17818 fictitious firms between april and october  sixtynine arrests were made and inr 6484 crore was recovered through itc blocking and other measures during a special drive ta ---newarticle--- , ---title--- gst officers detect rs 35132 cr itc evasion by over 17000 fake firms ---body--- gst authorities uncovered inr 35132 crore in input tax credit itc fraud by 17818 fictitious firms between april and october  sixtynine arrests were made and inr 6484 crore was recovered through itc blocking and other measures during a special drive ta ---newarticle---   ---title--- godrej consumer shares slide following warning on subdued demand drag hul nestle dabur itc ---body--- fmcg giants like hul nestle itc dabur and godrej consumer witness share price decline due to godrejs warning on subdued demand ---newarticle--- 
2024-12-17,2024-12-17,itc hotels demerger to come into effect from january 1 2025,kolkatabased diversified conglomerate itc announced on tuesday that the demerger of itc hotels will take effect from january 1 2025 as all necessary approvals have been obtained,https://economictimes.indiatimes.com/markets/stocks/news/itc-hotels-demerger-to-come-into-effect-from-january-1-2025/articleshow/116390093.cms,ITC.NS,2024-12-17, ---title--- itc hotels demerger to come into effect from january 1 2025 ---body--- kolkatabased diversified conglomerate itc announced on tuesday that the demerger of itc hotels will take effect from january 1 2025 as all necessary approvals have been obtained ---newarticle--- , ---title--- itc hotels demerger to come into effect from january 1 2025 ---body--- kolkatabased diversified conglomerate itc announced on tuesday that the demerger of itc hotels will take effect from january 1 2025 as all necessary approvals have been obtained ---newarticle---   ---title--- itc sets january 1 2025 as effective date for demerger of hotel business ---body--- itc ltd has fixed january 1 2025 as the effective date for demerger of its hotel business after receiving an approval order from the national company law tribunal nclt ---newarticle---   ---title--- itc fixes effective date for hotels business demerger on january 1 2025 ---body--- itc ltd sets january 1 2025 as the demerger date for its hotels business after fulfilling all conditions ---newarticle--- 
2024-12-23,2024-12-23,market trading guide devyani international itc among 5 stock recommendations for tuesday,indian headline indices sensex and nifty ended their fiveday losing streak on monday december 23 riding on strong action in bank and fmcg stocks while the 30stock bse sensex finished at 7854017 rising by 49858 points or 064 the broader nifty50 fin,https://m.economictimes.com/markets/stocks/news/market-trading-guide-devyani-international-itc-among-5-stock-recommendations-for-tuesday/stock-ideas/slideshow/116605765.cms,ITC.NS,2024-12-23, ---title--- market trading guide devyani international itc among 5 stock recommendations for tuesday ---body--- indian headline indices sensex and nifty ended their fiveday losing streak on monday december 23 riding on strong action in bank and fmcg stocks while the 30stock bse sensex finished at 7854017 rising by 49858 points or 064 the broader nifty50 fin ---newarticle--- , ---title--- market trading guide devyani international itc among 5 stock recommendations for tuesday ---body--- indian headline indices sensex and nifty ended their fiveday losing streak on monday december 23 riding on strong action in bank and fmcg stocks while the 30stock bse sensex finished at 7854017 rising by 49858 points or 064 the broader nifty50 fin ---newarticle--- 
2024-12-26,2024-12-26,stocks to buy today ntpc itc among top 8 trading ideas for 26 december 2024,the indian market is expected to trade higher on thursday supported by positive global cues nifty futures closed at 23772 on tuesday experts suggest a trading range of 23200 to 24200 with key support at 23500 recommended stocks to buy include ntpc i,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-today-ntpc-itc-among-top-8-trading-ideas-for-26-december-2024/articleshow/116668811.cms,ITC.NS,2024-12-26, ---title--- stocks to buy today ntpc itc among top 8 trading ideas for 26 december 2024 ---body--- the indian market is expected to trade higher on thursday supported by positive global cues nifty futures closed at 23772 on tuesday experts suggest a trading range of 23200 to 24200 with key support at 23500 recommended stocks to buy include ntpc i ---newarticle--- , ---title--- stocks to buy today ntpc itc among top 8 trading ideas for 26 december 2024 ---body--- the indian market is expected to trade higher on thursday supported by positive global cues nifty futures closed at 23772 on tuesday experts suggest a trading range of 23200 to 24200 with key support at 23500 recommended stocks to buy include ntpc i ---newarticle---   ---title--- us frand  rand licensing developments of 2024 the itc and district courts ---body--- part i of our summary concluded with a discussion about the potential impact of the recent us federal elections on the regulation of patents relating to industry standards including with respect to the availability of injunctive relief we pick up our disc ---newarticle--- 
2024-12-20,2024-12-20,itc share price live updates itcs previous day close was rs 46655 with a notable 3month return of 93,join us on the itc stock liveblog your hub for realtime updates and comprehensive analysis on a prominent stock stay in the know with the latest information about itc including last traded price 46145 market capitalization 58354202 volume 492314 p,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/itc-share-price-today-live-updates-20-dec-2024/liveblog/116487674.cms,ITC.NS,2024-12-20, ---title--- itc share price live updates itcs previous day close was rs 46655 with a notable 3month return of 93 ---body--- join us on the itc stock liveblog your hub for realtime updates and comprehensive analysis on a prominent stock stay in the know with the latest information about itc including last traded price 46145 market capitalization 58354202 volume 492314 p ---newarticle--- , ---title--- itc share price live updates itcs previous day close was rs 46655 with a notable 3month return of 93 ---body--- join us on the itc stock liveblog your hub for realtime updates and comprehensive analysis on a prominent stock stay in the know with the latest information about itc including last traded price 46145 market capitalization 58354202 volume 492314 p ---newarticle--- 
2024-12-04,2024-12-04,big movers on dstreet what should investors do with itc mazagon dock and sky gold,benchmark sensex extends its winning streak rising 597 points on tuesday driven by gains in bluechip stocks and positive global market trends analyst viral chheda of ssj finance  securities advises buying sky gold and mazagon dock at current levels while,https://economictimes.indiatimes.com/markets/stocks/news/big-movers-on-d-street-what-should-investors-do-with-itc-mazagon-dock-and-sky-gold/articleshow/115953804.cms,ITC.NS,2024-12-04, ---title--- big movers on dstreet what should investors do with itc mazagon dock and sky gold ---body--- benchmark sensex extends its winning streak rising 597 points on tuesday driven by gains in bluechip stocks and positive global market trends analyst viral chheda of ssj finance  securities advises buying sky gold and mazagon dock at current levels while ---newarticle--- , ---title--- big movers on dstreet what should investors do with itc mazagon dock and sky gold ---body--- benchmark sensex extends its winning streak rising 597 points on tuesday driven by gains in bluechip stocks and positive global market trends analyst viral chheda of ssj finance  securities advises buying sky gold and mazagon dock at current levels while ---newarticle--- 
2024-12-15,2024-12-15,itc foods targets growth in north and west india amid shift to branded products,the kolkatabased fastmoving consumer goods fmcg company which operates in categories such as staples snacks health foods dairy and beverages is also open to acquisitions to bolster its brand portfolio and drive growth hinting at a couple of deals sh,https://www.livemint.com/companies/news/itc-foods-targets-growth-in-north-and-west-india-amid-shift-to-branded-products-11734083089065.html,ITC.NS,2024-12-15, ---title--- itc foods targets growth in north and west india amid shift to branded products ---body--- the kolkatabased fastmoving consumer goods fmcg company which operates in categories such as staples snacks health foods dairy and beverages is also open to acquisitions to bolster its brand portfolio and drive growth hinting at a couple of deals sh ---newarticle--- , ---title--- itc foods targets growth in north and west india amid shift to branded products ---body--- the kolkatabased fastmoving consumer goods fmcg company which operates in categories such as staples snacks health foods dairy and beverages is also open to acquisitions to bolster its brand portfolio and drive growth hinting at a couple of deals sh ---newarticle--- 
2024-12-05,2024-12-05,itc to increase fpos to 4000 in next 4 years linking a crore farmers scale up super app maars,itc is expanding its farmer connect through farmer producer organizations fpos aiming to reach 10 million farmers in 45 years the company is leveraging its phygital platform maars to provide personalized advisories enhance agricultural practices an,https://timesofindia.indiatimes.com/business/india-business/itc-to-increase-fpos-to-4000-in-next-4-years-linking-a-crore-farmers-scale-up-super-app-maars/articleshow/116004564.cms,ITC.NS,2024-12-05, ---title--- itc to increase fpos to 4000 in next 4 years linking a crore farmers scale up super app maars ---body--- itc is expanding its farmer connect through farmer producer organizations fpos aiming to reach 10 million farmers in 45 years the company is leveraging its phygital platform maars to provide personalized advisories enhance agricultural practices an ---newarticle--- , ---title--- itc to increase fpos to 4000 in next 4 years linking a crore farmers scale up super app maars ---body--- itc is expanding its farmer connect through farmer producer organizations fpos aiming to reach 10 million farmers in 45 years the company is leveraging its phygital platform maars to provide personalized advisories enhance agricultural practices an ---newarticle--- 
2024-12-08,2024-12-08,itc scales up cultivation of medicinal aromatic plants,through this initiative itc looks to meet its requirements by chasing its fmcg ambitions and also leverages the b2b nutraceuticals space,https://www.thehindubusinessline.com/companies/itc-scales-up-cultivation-of-medicinal-aromatic-plants/article68961305.ece,ITC.NS,2024-12-08, ---title--- itc scales up cultivation of medicinal aromatic plants ---body--- through this initiative itc looks to meet its requirements by chasing its fmcg ambitions and also leverages the b2b nutraceuticals space ---newarticle--- , ---title--- itc scales up cultivation of medicinal aromatic plants ---body--- through this initiative itc looks to meet its requirements by chasing its fmcg ambitions and also leverages the b2b nutraceuticals space ---newarticle--- 
2024-12-16,2024-12-16,stocks to buy today itc icici bank among top 9 trading ideas for 16 december 2024,the indian market is expected to consolidate on december 16 2024 amid mixed global cues india vix indicates reduced investor anxiety market sentiment appears neutral to slightly bullish with balanced call and put writing key resistance and support level,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-today-itc-icici-bank-among-top-9-trading-ideas-for-16-december-2024/articleshow/116352250.cms,ITC.NS,2024-12-16, ---title--- stocks to buy today itc icici bank among top 9 trading ideas for 16 december 2024 ---body--- the indian market is expected to consolidate on december 16 2024 amid mixed global cues india vix indicates reduced investor anxiety market sentiment appears neutral to slightly bullish with balanced call and put writing key resistance and support level ---newarticle--- , ---title--- stocks to buy today itc icici bank among top 9 trading ideas for 16 december 2024 ---body--- the indian market is expected to consolidate on december 16 2024 amid mixed global cues india vix indicates reduced investor anxiety market sentiment appears neutral to slightly bullish with balanced call and put writing key resistance and support level ---newarticle--- 
2024-12-24,2024-12-24,stocks to buy today itc ntpc among top 8 trading ideas for 24 december 2024,the indian market is expected to consolidate on tuesday influenced by muted global cues the nifty future closed up by 060 at 23768 options data suggests a trading range of 23200 to 24200 with immediate support at 23500 and resistance at 23850 expe,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-today-itc-ntpc-among-top-8-trading-ideas-for-24-december-2024/articleshow/116616446.cms,ITC.NS,2024-12-24, ---title--- stocks to buy today itc ntpc among top 8 trading ideas for 24 december 2024 ---body--- the indian market is expected to consolidate on tuesday influenced by muted global cues the nifty future closed up by 060 at 23768 options data suggests a trading range of 23200 to 24200 with immediate support at 23500 and resistance at 23850 expe ---newarticle--- , ---title--- stocks to buy today itc ntpc among top 8 trading ideas for 24 december 2024 ---body--- the indian market is expected to consolidate on tuesday influenced by muted global cues the nifty future closed up by 060 at 23768 options data suggests a trading range of 23200 to 24200 with immediate support at 23500 and resistance at 23850 expe ---newarticle--- 
2024-12-11,2024-12-11,five takeaways from itc vegas 2024,insuretech connect itc was bustling with 9000 attendees including carriers agents brokers and a whole host of solution and technology providersboth incumbents and startups alike with over 4b in insurtech funding so far this year the industry is full,https://www.forrester.com/blogs/five-takeaways-from-itc-vegas-2024/,ITC.NS,2024-12-11, ---title--- five takeaways from itc vegas 2024 ---body--- insuretech connect itc was bustling with 9000 attendees including carriers agents brokers and a whole host of solution and technology providersboth incumbents and startups alike with over 4b in insurtech funding so far this year the industry is full ---newarticle--- , ---title--- five takeaways from itc vegas 2024 ---body--- insuretech connect itc was bustling with 9000 attendees including carriers agents brokers and a whole host of solution and technology providersboth incumbents and startups alike with over 4b in insurtech funding so far this year the industry is full ---newarticle--- 
2024-11-28,2024-11-28,chinese manufacturer usi opens first development centre in india with techm,it is usis first engineering offshore development center odc in india located at tech mahindras bengaluru office the development center will accelerate innovation in smart device engineering tech mahindra said in a statement,https://economictimes.indiatimes.com/tech/information-tech/chinese-manufacturer-usi-opens-first-development-centre-in-india-with-techm/articleshow/115769387.cms,TECHM.NS,2024-11-28, ---title--- chinese manufacturer usi opens first development centre in india with techm ---body--- it is usis first engineering offshore development center odc in india located at tech mahindras bengaluru office the development center will accelerate innovation in smart device engineering tech mahindra said in a statement ---newarticle--- , ---title--- chinese manufacturer usi opens first development centre in india with techm ---body--- it is usis first engineering offshore development center odc in india located at tech mahindras bengaluru office the development center will accelerate innovation in smart device engineering tech mahindra said in a statement ---newarticle--- 
2024-11-27,2024-11-27,60 gw power generation by fy32 an intermediary step not the final destination ntpc green cmd,ntpc aims to add 60 gigawatts of power generation capacity by 2032 the company will commission 3000 megawatts this year 5000 megawatts next year and 19000 megawatts by 2027 ntpc green energy will develop renewable energy projects with several states t,https://economictimes.indiatimes.com/markets/expert-view/60-gw-power-generation-by-fy32-an-intermediary-step-not-the-final-destination-ntpc-green-cmd/articleshow/115727221.cms,NTPCGREEN.NS,2024-11-27, ---title--- 60 gw power generation by fy32 an intermediary step not the final destination ntpc green cmd ---body--- ntpc aims to add 60 gigawatts of power generation capacity by 2032 the company will commission 3000 megawatts this year 5000 megawatts next year and 19000 megawatts by 2027 ntpc green energy will develop renewable energy projects with several states t ---newarticle--- , ---title--- 60 gw power generation by fy32 an intermediary step not the final destination ntpc green cmd ---body--- ntpc aims to add 60 gigawatts of power generation capacity by 2032 the company will commission 3000 megawatts this year 5000 megawatts next year and 19000 megawatts by 2027 ntpc green energy will develop renewable energy projects with several states t ---newarticle---   ---title--- ntpc shares jump 2 after ntpc green energys listing today ---body--- ntpc shares rose 23 while ntpc green energy debuted with a 325 premium experts recommend holding for longterm growth amid the companys expansion into renewable energy and storage ---newarticle---   ---title--- ntpc green energy share price listing live ntpc green energy shares to list today check gmp allotment status other details ---body--- ntpc green energy ipo listing shares of ntpc green whose initial public offering ipo opened for public subscription from november 19 to november 22 are expected to be listed on wednesday november 27 the share allotment took place on november 25 with s ---newarticle---   ---title--- ntpc green energy share price  ipo listing highlights ngel shares end 9 higher after premium listing ---body--- ntpc green energy stocksshares ntpc green energy ipo gmp listing updates 27 nov 2024 ntpc green energy shares were listed at 11150 and 11160 on the nse and bse at a 3 per cent premium over the issue price of 108 in addition ngel shares rallied 10  ---newarticle---   ---title--- ntpc green ipo shares to debut today check gmp and analyst predictions for listing ---body--- ntpc green energys ipopriced shares will list on exchanges today  grey market premium hints at a flat listing the ipo received a 24 times subscription institutional and retail investors showed interest  analysts suggest a longterm investment strategy ---newarticle---   ---title--- ntpc green energys mcap crosses rs 1 lakh crore mark on debut stock jumps 10 post listing ---body--- the issue open for subscription from november 19 to 22 was overall subscribed 242 times the retail portion saw 344 times subscription while the noninstitutional investors niis segment fell short at 81 the qualified institutional buyers qibs categ ---newarticle---   ---title--- ntpc green energy shares rally 10 after premium listing on nse bse ---body--- ntpc green energy shares were listed at 11150 and 11160 on the nse and bse ---newarticle---   ---title--- ntpc green energy shares jump 10 post listing should you buy sell or hold ---body--- shares of ntpc green energy rose 10 to rs 12275 on the bse following its flat debut at rs 1116 a 325 premium over the ipo price of rs 108 the stock has surged 1365 from the issue price experts recommend ntpc green energy as a strong longterm invest ---newarticle---   ---title--- ntpc green energy signs mou with chhattisgarh state power generation company to develop 200 mw renewable projects ---body--- ntpc green energy limited ngel has signed a memorandum of understanding mou with chhattisgarh state power generation company cspgcl to develop 200 mw of renewable energy projects including solar floating technology the agreement was formalized by key  ---newarticle---   ---title--- ntpc green makes strong showing on first day of listing ---body--- ntpc green energy stock debuts with 136 gain market cap over 1 lakh crore poised for growth in renewables ---newarticle--- 
2024-12-26,2024-12-26,gainers  losers ntpc green international gemmological among,gains in auto stocks were offset by weakness in banking and fmcg sectors resulting in a mixed close for the markets the sp bse sensex ended marginally lower at 7847248 down 039 points while the broader nifty edged up 2255 points or 01 to close at,https://m.economictimes.com/markets/web-stories/gainers-amp-losers-ntpc-green-international-gemmological-among/slideshow/116683180.cms,NTPCGREEN.NS,2024-12-26, ---title--- gainers  losers ntpc green international gemmological among ---body--- gains in auto stocks were offset by weakness in banking and fmcg sectors resulting in a mixed close for the markets the sp bse sensex ended marginally lower at 7847248 down 039 points while the broader nifty edged up 2255 points or 01 to close at ---newarticle--- , ---title--- gainers  losers ntpc green international gemmological among ---body--- gains in auto stocks were offset by weakness in banking and fmcg sectors resulting in a mixed close for the markets the sp bse sensex ended marginally lower at 7847248 down 039 points while the broader nifty edged up 2255 points or 01 to close at ---newarticle---   ---title--- gainers  losers ntpc green igi among stocks in news on thursday ---body--- gains in auto stocks were offset by weakness in banking and fmcg sectors resulting in a mixed close for the markets the sp bse sensex ended marginally lower at 7847248 down 039 points while the broader nifty edged up 2255 points or 01 to close at ---newarticle---   ---title--- ntpc green energy shares in focus as 1month lockin period ends today ---body--- ntpc green energys 1month shareholder lockin period expires today unlocking 183 million shares 2 of total shares for trading this release could lead to increased selling pressure and potential stock price fluctuations the lockin period typically se ---newarticle--- 
2024-12-23,2024-12-23,stocks in news ril ntpc green indusind bank zomato vedanta,zomato shares are in focus on monday as the food delivery giant becomes the first newage tech company to join the bse sensexs 30share frontline index,https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-ril-ntpc-green-indusind-bank-zomato-vedanta/articleshow/116580979.cms,NTPCGREEN.NS,2024-12-23, ---title--- stocks in news ril ntpc green indusind bank zomato vedanta ---body--- zomato shares are in focus on monday as the food delivery giant becomes the first newage tech company to join the bse sensexs 30share frontline index ---newarticle--- , ---title--- stocks in news ril ntpc green indusind bank zomato vedanta ---body--- zomato shares are in focus on monday as the food delivery giant becomes the first newage tech company to join the bse sensexs 30share frontline index ---newarticle---   ---title--- ntpc inks pact to set up green hydrogen infra in odisha ---body--- ntpc signs an initial pact with gridco and crut to establish green hydrogen infrastructure in odisha focusing on a green hydrogen fuelling station and hydrogen buses in bhubaneswar this initiative supports the phaseout of fossil fuel buses promoting decar ---newarticle---   ---title--- ntpc green shares in focus on signing mou with bihar government ---body--- ntpc green energy signed an mou with the bihar government to develop renewable energy projects including solar and wind installations battery storage and green hydrogen initiatives  the agreement aims to boost green energy in bihar with the government fa ---newarticle--- 
2024-12-11,2024-12-11,ntpc green energy shares in focus after winning 500mw solar project in seci auction,ntpc green energy secured a 500 mw solar power project with a 250 mw1000 mwh energy storage system in a recent seci auction  the company aims to reach 60 gw of renewable energy capacity by 2032 further solidifying its position as a leading renewable energ,https://economictimes.indiatimes.com/markets/stocks/news/ntpc-green-energy-shares-in-focus-after-winning-500-mw-solar-project-in-seci-auction/articleshow/116193608.cms,NTPCGREEN.NS,2024-12-11, ---title--- ntpc green energy shares in focus after winning 500mw solar project in seci auction ---body--- ntpc green energy secured a 500 mw solar power project with a 250 mw1000 mwh energy storage system in a recent seci auction  the company aims to reach 60 gw of renewable energy capacity by 2032 further solidifying its position as a leading renewable energ ---newarticle--- , ---title--- ntpc green energy shares in focus after winning 500mw solar project in seci auction ---body--- ntpc green energy secured a 500 mw solar power project with a 250 mw1000 mwh energy storage system in a recent seci auction  the company aims to reach 60 gw of renewable energy capacity by 2032 further solidifying its position as a leading renewable energ ---newarticle---   ---title--- stocks in news bajaj auto star health awfis space ntpc green ujjivan sfb ---body--- standalone health insurance provider star health insurance ltd has taken up multiple measures including stepping up of its security mechanism following an alleged data breach recently a top official said ---newarticle---   ---title--- ntpc green energy shares rise on securing major solar power project ---body--- ntpc green energy stock rises after subsidiary wins solar power bid plans to set up 2000 mw plants ---newarticle--- 
2024-12-06,2024-12-06,ntpc green plans 30000 crtransmission network for ap green hydrogen hub,the proposed project would have a capacity of 20gw and is pivotal for indias transition to renewable energy  it will remain separate from the national power grid and will be indias first such network purposebuilt for a project,https://www.livemint.com/companies/ntpc-green-plans-rs-30-000-cr-transmission-network-for-ap-green-hydrogen-hub-11733393243917.html,NTPCGREEN.NS,2024-12-06, ---title--- ntpc green plans 30000 crtransmission network for ap green hydrogen hub ---body--- the proposed project would have a capacity of 20gw and is pivotal for indias transition to renewable energy  it will remain separate from the national power grid and will be indias first such network purposebuilt for a project ---newarticle--- , ---title--- ntpc green plans 30000 crtransmission network for ap green hydrogen hub ---body--- the proposed project would have a capacity of 20gw and is pivotal for indias transition to renewable energy  it will remain separate from the national power grid and will be indias first such network purposebuilt for a project ---newarticle--- 
2024-11-28,2024-11-28,ntpc green shares jump 4 on commencing 1st part of shajapur solar project,shares of the newly listed ntpc green energy surged 4 in todays session reaching rs 12755 on the bse following the successful commissioning of the first part 55 mw of the 105 mw shajapur solar project the stock has risen 18 from its ipo price of rs 1,https://economictimes.indiatimes.com/markets/stocks/news/ntpc-green-shares-jump-4-on-commencing-1st-part-of-shajapur-solar-project/articleshow/115757808.cms,NTPCGREEN.NS,2024-11-28, ---title--- ntpc green shares jump 4 on commencing 1st part of shajapur solar project ---body--- shares of the newly listed ntpc green energy surged 4 in todays session reaching rs 12755 on the bse following the successful commissioning of the first part 55 mw of the 105 mw shajapur solar project the stock has risen 18 from its ipo price of rs 1 ---newarticle--- , ---title--- ntpc green shares jump 4 on commencing 1st part of shajapur solar project ---body--- shares of the newly listed ntpc green energy surged 4 in todays session reaching rs 12755 on the bse following the successful commissioning of the first part 55 mw of the 105 mw shajapur solar project the stock has risen 18 from its ipo price of rs 1 ---newarticle--- 
